Segments,Quality,TryNewTechnology,PayMore,ProductsLatestTechnology,Price,SwitchBrands,BuySecurityDevices,Total
Comfortable Retirees,1094782,287818,537362,726376,1240547,759639,121346,4767870
Diverse Workers,2784539,1201534,1920240,2082794,3308650,2286425,327728,13911910
Elder Midscale Class,1709107,403429,1001329,1141297,1787397,1081551,424447,7548557
Elite Households,1349997,551943,1153657,1022352,1377813,887918,773110,7116790
Mass Markets,2792014,1296515,2239097,2229801,3152588,2168742,807344,14686101
Modest Families,1108450,610257,867047,932759,1332094,1076186,224353,6151146
Prosperous Acheivers,1345702,411378,953399,894410,1234963,704491,849727,6394070
Upscale Matures,1068362,285041,647027,667994,1015715,596014,451118,4731271
Well-heeled Affluents,933276,343055,756944,673420,874881,522831,1176191,5280598
Young Affluent Mobiles,1901962,888932,1685141,1583489,1882546,1345477,427550,9715097
Young Upscale Families,2221763,848484,1768303,1682411,2281066,1472441,367450,10641918
Young Urban Masses,2069153,1025455,1705368,1651877,2332275,1686936,136007,10607071
